timestamp,label,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.049454,Moonwalk,0.139877,-0.4814,-0.893387,0.036836,-0.29099,0.036157
0.060846,Moonwalk,-0.026627,-0.44046,-0.934067,0.128897,-0.168061,-0.363412
0.080883,Moonwalk,-0.02887,-0.384674,-0.91127,0.142401,0.107034,-0.387691
0.101194,Moonwalk,0.132355,-0.302032,-0.769592,0.302451,0.206391,-0.229314
0.121197,Moonwalk,0.152084,-0.349396,-0.683945,0.465059,0.050281,-0.036272
0.141201,Moonwalk,0.158981,-0.418823,-0.657867,0.523294,-0.212079,0.041195
0.161191,Moonwalk,0.158981,-0.418823,-0.657867,0.530614,-0.37102,0.057319
0.183375,Moonwalk,0.143906,-0.445007,-0.765244,0.667751,-0.127023,0.05915
0.201221,Moonwalk,0.125565,-0.457047,-0.816528,0.876435,-0.077238,0.167166
0.220447,Moonwalk,0.125565,-0.457047,-0.816528,0.972321,-0.180796,0.248366
0.241238,Moonwalk,0.158981,-0.601044,-0.710251,0.83332,-0.191261,0.258263
0.261211,Moonwalk,0.180954,-0.629379,-0.665863,0.558699,-0.085049,0.243068
0.282191,Moonwalk,0.180954,-0.629379,-0.665863,0.246774,0.063901,0.261719
0.30092,Moonwalk,0.162155,-0.641525,-0.704941,0.246774,0.063901,0.261719
0.321219,Moonwalk,0.04071,-0.641647,-0.884598,0.205886,0.215448,0.265906
0.341234,Moonwalk,0.093658,-0.639572,-0.790543,0.297947,-0.012064,0.184391
0.361213,Moonwalk,0.04805,-0.664398,-0.747116,-0.040775,-0.426124,0.162807
0.38272,Moonwalk,0.04805,-0.664398,-0.747116,-0.654925,-0.46123,0.000587
0.400202,Moonwalk,-0.157196,-0.601746,-1.259766,-0.869724,-0.040706,-0.211591
0.421227,Moonwalk,-0.132339,-0.507263,-1.34317,-0.585456,0.512203,-0.370828
0.441231,Moonwalk,0.015427,-0.471252,-1.109146,-0.150395,0.732814,-0.277564
0.461218,Moonwalk,0.08136,-0.488937,-0.816788,0.029897,0.399347,-0.100245
0.482912,Moonwalk,0.08136,-0.488937,-0.816788,-0.208172,-0.082425,0.017482
